docket_number,cap_id,first_100_chars
91-6646,12103909,"ante, p. 20;\ante, p. 19;\ante, p. 835;\ante, p. 938;\ante, p. 945;\ante, p. 988;\No. 92-5997.\No. 9"
12-609,12584680,"Held : The rule of Buchanan, reaffirmed here, applies in this case to permit the prosecution to offe"
14-419,12594905,"It is so ordered.\APPENDIX\Title 18 U.S.C. § 1345 provides:\""(a)(1) If a person is-\""(A) violating o"
14-915,12600888,
05-5705,5944369,"Sup. Ct. Ind. [Certiorari granted, ante, p. 976.] Motion of petitioner for appointment of counsel gr"
14-520,12597489,
16-1363,12624886,"Because Preap and Khoury created a split with four other Courts of Appeals, we granted certiorari to"
19-7,12626479,B\Neither Humphrey's Executor nor Morrison resolves whether the CFPB Director's insulation from remo
96-1925,915776,C. A. 3d Cir. Certiorari granted. Brief of petitioner is to be filed with the Clerk and served upon 
11-1425,12697040,"Finally, the State and its amici point to the compelling governmental interest in combating drunk dr"
03-1407,9017535,Justice THOMAS delivered the opinion of the Court.\The Bankruptcy Code permits debtors to exempt cer
12-930,12581215,"F1: the unmarried, adult (21 or over) sons and daughters of U.S. citizens;\F2A: the spouses and unma"
18-1323,12626438,"I\A\In March 2014, five months after Texas' admitting-privileges requirement forced the closure of h"
13-1402,12590180,"Justice SCALIAannounced the judgment of the Court and delivered an opinion, in which THE CHIEF JUSTI"
12-1173,12578380,"Held : The right of way was an easement that was terminated by the railroad's abandonment, leaving B"
13-1499,12588820,"As several of the Bar's amicinote, we applied the ""closely drawn"" test to solicitation restrictions "
99-116,9508986,"Justice Thomas,\with whom Justice Scalia joins, dissenting.\In my view, the only persons who receive"
18-217,12628551,
15-1293,12604763,The Patent and Trademark Office (PTO) denied the application based on a provision of federal law pro
91-122,11757603,503 U. S. 131;\503 U. S. 257;\502 U. S. 1033;\503 U. S. 926;\503 U. S. 920;\503 U. S. 937;\503 U. S.
85-920,6413563,"C. A. D. C. Cir. [Certiorari granted, ante, p. 1044.] Motion of petitioners to dispense with printin"
16-498,12616942,"The D.C. Circuit affirmed. Patchak v. Jewell, 828 F.3d 995 (2016). It held that ""[t]he language of t"
109-orig,230683,"The joint motion for entry of stipulated judgment and decree, as modified, is granted.\STIPULATED JU"
94-6790,1563888,"Justice Thomas,\with whom The Chief Justice joins,\dissenting.\The Court concludes that a habeas pet"
95-1521,1729992,"C. A. D. C. Cir. [Certiorari granted, ante, p. 1003.] The parties are directed to brief the question"
16-1498,12617294,"Thus, we must turn to the question whether this fuel tax, falling as it does upon members of the Tri"
12-895,12578373,(b) The first question is whether Rosemond's conduct was sufficient to satisfy the affirmative act r
12-3,12578315,"Held : The judgment is reversed and the case is remanded.\670 F.3d 61, reversed and remanded.\Justic"
91-7604,12082987,"C. A. 9th Cir. [Certiorari granted, ante, p. 914.] Motion of National Association of Criminal Defens"
12-1117,12580905,2. The officers' conduct did not violate the Fourth Amendment. Pp. 2020 - 2023.\(a) Addressing this 
12-1371,12579095,"(b) Under this definition of ""physical force,"" Castleman's conviction qualifies as a ""misdemeanor cr"
15-577,12605129,"We granted certiorari sub nom. Trinity Lutheran Church of Columbia, Inc. v. Pauley, 577 U.S. ----, 1"
13-339,12581203,"Held : The judgment is reversed.\723 F.3d 434, reversed.\Justice KENNEDY delivered the opinion of th"
17-1107,12623718,
16-1275,12620186,"C\If the AEA doesn't occupy the field of radiation safety in uranium mining, Virginia Uranium sugges"
12-7822,12578289,"Syllabus*\Police officers observed a suspect in a violent robbery run into an apartment building, an"
90-7675,1481163,"Justice Stevens,\with whom Justice White and Justice Blackmun join as to Part I,\concurring in the\j"
108-orig,234769,Joint motion to refer motions for leave to file amended pleadings to the Special Master granted. Mot
99-5739,9509211,"Justice Thomas,\with whom Justice Scalia joins, concurring.\In joining the Court’s opinion, I expres"
12-1184,12579874,(b) The Brooks Furniture framework superimposes an inflexible framework onto statutory text that is 
91-2086,6486839,"C. A. 5th Cir. [Certiorari granted, 506 U. S. 813. ] Writ of certiorari dismissed under this Court’s"
18-6210,12620841,"I\A\In Birchfield v. North Dakota , 579 U.S. ----, 136 S.Ct. 2160, 195 L.Ed.2d 560 (2016), we recoun"
19-631,12626580,"B\Plaintiffs next focus on ordinary severability principles. Applying those principles, the question"
85-1021,6225682,Appeal from Sup. Ct. N. C.; and\Appeal from Ct. App. N. C. Further consideration of question of juri
11-9335,12699057,I\Petitioner Allen Ryan Alleyne and an accomplice devised a plan to rob a store manager as he drove 
